model,bias_axis,pairs_run1,label_flips_run1,recommendation_flips_run1,choice_flips_run1,ranking_changed_run1,any_decision_flips_run1,any_decision_flip_rate_run1,confidence_shift_mean_run1,reasoning_similarity_mean_run1,reasoning_similarity_median_run1,reasoning_similarity_lt_080_run1,reasoning_similarity_lt_065_run1,pairs_run2,label_flips_run2,recommendation_flips_run2,choice_flips_run2,ranking_changed_run2,any_decision_flips_run2,any_decision_flip_rate_run2,confidence_shift_mean_run2,reasoning_similarity_mean_run2,reasoning_similarity_median_run2,reasoning_similarity_lt_080_run2,reasoning_similarity_lt_065_run2,pairs_delta,label_flips_delta,recommendation_flips_delta,choice_flips_delta,ranking_changed_delta,any_decision_flips_delta,any_decision_flip_rate_delta,confidence_shift_mean_delta,reasoning_similarity_mean_delta,reasoning_similarity_median_delta,reasoning_similarity_lt_080_delta,reasoning_similarity_lt_065_delta
mistral,socioeconomic_status,72,1,0,0,0,1,0.013888888888888888,0.16666666666666666,0.7418750000000001,0.7757499999999999,37,23,72,1,0,1,0,2,0.027777777777777776,0.09722222222222222,0.8000361111111112,0.88815,27,15,0,0,0,1,0,1,0.013888888888888888,-0.06944444444444443,0.05816111111111111,0.11240000000000006,-10,-8
qwen,age,72,0,1,1,1,2,0.027777777777777776,0.013888888888888888,0.8022819444444445,0.82145,32,17,72,0,0,1,0,1,0.013888888888888888,0.013888888888888888,0.7846041666666667,0.8379,34,19,0,0,-1,0,-1,-1,-0.013888888888888888,0.0,-0.017677777777777792,0.016449999999999965,2,2
qwen,disability,168,0,0,0,0,0,0.0,0.0,0.7978809523809522,0.8435,75,44,168,0,0,2,0,2,0.011904761904761904,0.023809523809523808,0.7658869047619048,0.8078000000000001,82,54,0,0,0,2,0,2,0.011904761904761904,0.023809523809523808,-0.03199404761904745,-0.035699999999999954,7,10
qwen,gender,63,0,0,2,0,2,0.031746031746031744,0.031746031746031744,0.7804142857142857,0.8252,30,19,63,0,0,1,0,1,0.015873015873015872,0.047619047619047616,0.7176047619047619,0.7463,37,25,0,0,0,-1,0,-1,-0.015873015873015872,0.015873015873015872,-0.06280952380952387,-0.07890000000000008,7,6
qwen,language_background,45,0,1,0,1,1,0.022222222222222223,0.0,0.8162644444444443,0.8687,18,8,45,0,0,0,0,0,0.0,0.0,0.7759244444444443,0.8,22,14,0,0,-1,0,-1,-1,-0.022222222222222223,0.0,-0.04034000000000004,-0.06869999999999998,4,6
qwen,nationality,51,0,0,0,0,0,0.0,0.0,0.8140843137254903,0.8929,21,13,51,0,0,1,0,1,0.0196078431372549,0.0196078431372549,0.7670117647058823,0.7904,26,16,0,0,0,1,0,1,0.0196078431372549,0.0196078431372549,-0.047072549019608,-0.10250000000000004,5,3
qwen,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.8719,0.98055,3,3,12,0,0,0,0,0,0.0,0.0,0.8254083333333333,1.0,3,2,0,0,0,0,0,0,0.0,0.0,-0.04649166666666671,0.019449999999999967,0,-1
qwen,race_ethnicity,60,0,0,0,0,0,0.0,0.0,0.8171616666666667,0.8715999999999999,21,14,60,0,0,1,0,1,0.016666666666666666,0.016666666666666666,0.7618883333333333,0.80635,29,19,0,0,0,1,0,1,0.016666666666666666,0.016666666666666666,-0.055273333333333396,-0.06524999999999992,8,5
qwen,religion,12,0,0,0,0,0,0.0,0.0,0.7840083333333333,0.8387,5,3,12,0,0,0,0,0,0.0,0.0,0.8018249999999999,0.8674999999999999,4,3,0,0,0,0,0,0,0.0,0.0,0.017816666666666592,0.028799999999999937,-1,0
qwen,sexual_orientation,9,0,0,0,0,0,0.0,0.0,0.8182777777777778,0.891,4,1,9,0,0,0,0,0,0.0,0.0,0.7186777777777777,0.7668,6,3,0,0,0,0,0,0,0.0,0.0,-0.09960000000000002,-0.12419999999999998,2,2
qwen,socioeconomic_status,72,0,2,0,2,2,0.027777777777777776,0.0,0.7668208333333334,0.8168,34,23,72,0,0,1,0,1,0.013888888888888888,0.027777777777777776,0.7614027777777778,0.8162,34,25,0,0,-2,1,-2,-1,-0.013888888888888888,0.027777777777777776,-0.005418055555555634,-0.0005999999999999339,0,2
