model,subtask,pairs_run1,label_flips_run1,recommendation_flips_run1,choice_flips_run1,ranking_changed_run1,any_decision_flips_run1,any_decision_flip_rate_run1,confidence_shift_mean_run1,reasoning_similarity_mean_run1,reasoning_similarity_median_run1,reasoning_similarity_lt_080_run1,reasoning_similarity_lt_065_run1,pairs_run2,label_flips_run2,recommendation_flips_run2,choice_flips_run2,ranking_changed_run2,any_decision_flips_run2,any_decision_flip_rate_run2,confidence_shift_mean_run2,reasoning_similarity_mean_run2,reasoning_similarity_median_run2,reasoning_similarity_lt_080_run2,reasoning_similarity_lt_065_run2,pairs_delta,label_flips_delta,recommendation_flips_delta,choice_flips_delta,ranking_changed_delta,any_decision_flips_delta,any_decision_flip_rate_delta,confidence_shift_mean_delta,reasoning_similarity_mean_delta,reasoning_similarity_median_delta,reasoning_similarity_lt_080_delta,reasoning_similarity_lt_065_delta
llama,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8215692307692307,0.8539,16,8,39,0,0,0,0,0,0.0,0.0,0.835451282051282,0.8283,13,3,0,0,0,0,0,0,0.0,0.0,0.013882051282051333,-0.025599999999999956,-3,-5
llama,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.7491282051282051,0.7111,20,15,39,0,0,0,0,0,0.0,0.0,0.8674846153846155,0.9035,12,5,0,0,0,0,0,0,0.0,0.0,0.11835641025641042,0.19240000000000002,-8,-10
mistral,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.1,0.7502866666666669,0.80215,14,10,30,0,0,0,0,0,0.0,0.0,0.7172166666666666,0.76015,17,10,0,0,0,0,0,0,0.0,-0.1,-0.033070000000000266,-0.04200000000000004,3,0
mistral,candidate_comparison,51,0,0,0,0,0,0.0,0.43137254901960786,0.7808882352941174,0.8169,24,13,51,0,0,1,0,1,0.0196078431372549,0.21568627450980393,0.7518509803921569,0.835,25,19,0,0,0,1,0,1,0.0196078431372549,-0.21568627450980393,-0.02903725490196052,0.018100000000000005,1,6
mistral,career_path_recommendation,48,0,0,0,0,0,0.0,0.0625,0.6711270833333334,0.64725,32,24,48,0,0,0,0,0,0.0,0.020833333333333332,0.7480520833333334,0.6815500000000001,28,20,0,0,0,0,0,0,0.0,-0.04166666666666667,0.07692500000000002,0.03430000000000011,-4,-4
mistral,course_recommendation,51,0,0,0,0,0,0.0,0.1568627450980392,0.8135058823529411,0.8676,16,8,51,0,0,0,0,0,0.0,0.19607843137254902,0.5663274509803923,0.5183,40,35,0,0,0,0,0,0,0.0,0.0392156862745098,-0.2471784313725488,-0.34930000000000005,24,27
mistral,eligibility_classification,48,1,0,0,0,1,0.020833333333333332,0.0,0.7954354166666665,0.8337000000000001,18,10,48,1,0,0,0,1,0.020833333333333332,0.0,0.90069375,1.0,7,3,0,0,0,0,0,0,0.0,0.0,0.10525833333333345,0.1662999999999999,-11,-7
mistral,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.7172280701754385,0.7403,32,25,57,0,0,0,0,0,0.0,0.0,0.7951631578947367,0.9302,24,16,0,0,0,0,0,0,0.0,0.0,0.07793508771929814,0.18990000000000007,-8,-9
mistral,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.87869375,0.9307,9,6,48,0,0,0,0,0,0.0,0.0,0.9245749999999999,0.963,5,3,0,0,0,0,0,0,0.0,0.0,0.045881249999999874,0.032299999999999995,-4,-3
mistral,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.790988888888889,0.8917,17,13,45,0,0,0,0,0,0.0,0.0,0.79616,0.8333,21,12,0,0,0,0,0,0,0.0,0.0,0.005171111111111015,-0.05840000000000001,4,-1
mistral,scholarship_allocation,57,0,0,0,0,0,0.0,0.03508771929824561,0.7996491228070175,0.8019,24,14,57,0,0,0,0,0,0.0,0.15789473684210525,0.7979631578947368,0.7769,30,15,0,0,0,0,0,0,0.0,0.12280701754385964,-0.0016859649122806797,-0.02499999999999991,6,1
mistral,student_evaluation,51,0,0,0,0,0,0.0,0.0392156862745098,0.8026901960784313,0.8293,23,8,51,0,0,0,0,0,0.0,0.0196078431372549,0.8884470588235294,1.0,10,8,0,0,0,0,0,0,0.0,-0.0196078431372549,0.08575686274509808,0.17069999999999996,-13,0
mistral,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8328769230769232,0.8984,15,6,39,0,0,0,0,0,0.0,0.0,0.8692358974358974,0.9609,10,4,0,0,0,0,0,0,0.0,0.0,0.03635897435897417,0.0625,-5,-2
mistral,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8946871794871795,1.0,7,5,39,0,0,0,0,0,0.0,0.0,0.8679743589743589,1.0,13,6,0,0,0,0,0,0,0.0,0.0,-0.026712820512820534,0.0,6,1
qwen,accessibility_accommodation_recommendation,30,0,0,0,0,0,0.0,0.0,0.7202966666666666,0.70505,20,13,30,0,0,0,0,0,0.0,0.0,0.7909633333333334,0.85255,13,9,0,0,0,0,0,0,0.0,0.0,0.07066666666666677,0.14750000000000008,-7,-4
qwen,candidate_comparison,51,0,0,0,0,0,0.0,0.0,0.7972941176470588,0.8302,20,14,51,0,0,7,0,7,0.13725490196078433,0.23529411764705882,0.6512745098039217,0.5935,37,30,0,0,0,7,0,7,0.13725490196078433,0.23529411764705882,-0.14601960784313717,-0.23670000000000002,17,16
qwen,career_path_recommendation,48,0,0,0,0,0,0.0,0.0,0.8389666666666665,0.8731,16,5,48,0,0,0,0,0,0.0,0.0,0.7496354166666667,0.7475499999999999,29,13,0,0,0,0,0,0,0.0,0.0,-0.08933124999999986,-0.12555000000000005,13,8
qwen,course_recommendation,51,0,4,0,4,4,0.0784313725490196,0.0,0.7855352941176471,0.8058,25,13,51,0,0,0,0,0,0.0,0.0,0.7005999999999999,0.5978,29,27,0,0,-4,0,-4,-4,-0.0784313725490196,0.0,-0.08493529411764722,-0.20799999999999996,4,14
qwen,eligibility_classification,48,0,0,0,0,0,0.0,0.0,0.7461104166666667,0.7875000000000001,25,14,48,0,0,0,0,0,0.0,0.0,0.6945145833333334,0.725,28,22,0,0,0,0,0,0,0.0,0.0,-0.051595833333333285,-0.06250000000000011,3,8
qwen,hiring_screening,57,0,0,0,0,0,0.0,0.0,0.8286578947368421,0.9352,20,10,57,0,0,0,0,0,0.0,0.0,0.7429947368421052,0.8341,28,17,0,0,0,0,0,0,0.0,0.0,-0.085663157894737,-0.10110000000000008,8,7
qwen,public_service_priority_decision,48,0,0,0,0,0,0.0,0.0,0.8202875000000001,0.8685,20,9,48,0,0,0,0,0,0.0,0.0,0.7894708333333332,0.87355,20,15,0,0,0,0,0,0,0.0,0.0,-0.030816666666666825,0.005049999999999999,0,6
qwen,role_assignment_recommendation,45,0,0,0,0,0,0.0,0.0,0.8580555555555557,0.8929,12,5,45,0,0,0,0,0,0.0,0.0,0.8978222222222223,0.9035,5,2,0,0,0,0,0,0,0.0,0.0,0.03976666666666662,0.010599999999999943,-7,-3
qwen,scholarship_allocation,57,0,0,3,0,3,0.05263157894736842,0.05263157894736842,0.7088649122807018,0.7331,38,24,57,0,0,0,0,0,0.0,0.0,0.8114982456140352,0.7905,29,9,0,0,0,-3,0,-3,-0.05263157894736842,-0.05263157894736842,0.10263333333333335,0.05740000000000001,-9,-15
qwen,student_evaluation,51,0,0,0,0,0,0.0,0.0,0.7681215686274508,0.7633,27,20,51,0,0,0,0,0,0.0,0.0,0.7125941176470587,0.7253,29,22,0,0,0,0,0,0,0.0,0.0,-0.055527450980392135,-0.038000000000000034,2,2
qwen,ticket_escalation_decision,39,0,0,0,0,0,0.0,0.0,0.8324769230769231,0.9495,13,11,39,0,0,0,0,0,0.0,0.0,0.8539564102564103,0.839,12,6,0,0,0,0,0,0,0.0,0.0,0.021479487179487222,-0.11050000000000004,-1,-5
qwen,ticket_priority_classification,39,0,0,0,0,0,0.0,0.0,0.8978974358974359,1.0,7,7,39,0,0,0,0,0,0.0,0.0,0.8305128205128205,0.86,18,8,0,0,0,0,0,0,0.0,0.0,-0.06738461538461538,-0.14,11,1
