run,model,bias_axis,pairs,label_flips,recommendation_flips,choice_flips,ranking_changed,any_decision_flips,any_decision_flip_rate,confidence_shift_mean,reasoning_similarity_mean,reasoning_similarity_median,reasoning_similarity_lt_080,reasoning_similarity_lt_065
run2,llama,gender,63,0,0,1,1,1,0.015873015873015872,0.1111111111111111,0.6729809523809523,0.7247,40,27
run2,llama,language_background,45,0,0,2,0,2,0.044444444444444446,0.06666666666666667,0.7586577777777778,0.8488,18,12
run2,llama,nationality,51,0,0,1,0,1,0.0196078431372549,0.09803921568627451,0.7542882352941176,0.7766,26,17
run2,llama,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.600925,0.5537,9,7
run2,llama,race_ethnicity,60,0,0,1,0,1,0.016666666666666666,0.06666666666666667,0.7211583333333333,0.76515,31,20
run2,llama,religion,12,0,0,0,0,0,0.0,0.0,0.8657833333333332,0.9420999999999999,5,1
run2,llama,sexual_orientation,9,0,0,0,0,0,0.0,0.1111111111111111,0.7551333333333333,0.7597,6,2
run2,llama,socioeconomic_status,72,0,0,2,0,2,0.027777777777777776,0.1111111111111111,0.696001388888889,0.7534,41,27
run2,mistral,age,72,0,0,0,0,0,0.0,0.09722222222222222,0.8410486111111112,0.96195,24,16
run2,mistral,disability,168,0,0,0,0,0,0.0,0.005952380952380952,0.8046363095238095,0.8523000000000001,73,43
run2,mistral,gender,63,0,0,0,0,0,0.0,0.07936507936507936,0.7632126984126986,0.8212,29,21
run2,mistral,language_background,45,0,0,0,0,0,0.0,0.13333333333333333,0.8173177777777778,0.823,18,9
run2,mistral,nationality,51,0,0,0,0,0,0.0,0.0784313725490196,0.8211666666666668,0.9172,17,12
run2,mistral,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.86535,1.0,3,3
run2,mistral,race_ethnicity,60,0,0,0,0,0,0.0,0.03333333333333333,0.7652266666666667,0.9378,28,23
run2,mistral,religion,12,0,0,0,0,0,0.0,0.0,0.7981833333333332,0.8927,5,4
run2,mistral,sexual_orientation,9,0,0,0,0,0,0.0,0.0,0.6673555555555556,0.6356,6,5
run2,mistral,socioeconomic_status,72,1,0,1,0,2,0.027777777777777776,0.09722222222222222,0.8000361111111112,0.88815,27,15
run2,qwen,age,72,0,0,1,0,1,0.013888888888888888,0.013888888888888888,0.7846041666666667,0.8379,34,19
run2,qwen,disability,168,0,0,2,0,2,0.011904761904761904,0.023809523809523808,0.7658869047619048,0.8078000000000001,82,54
run2,qwen,gender,63,0,0,1,0,1,0.015873015873015872,0.047619047619047616,0.7176047619047619,0.7463,37,25
run2,qwen,language_background,45,0,0,0,0,0,0.0,0.0,0.7759244444444443,0.8,22,14
run2,qwen,nationality,51,0,0,1,0,1,0.0196078431372549,0.0196078431372549,0.7670117647058823,0.7904,26,16
run2,qwen,physical_appearance,12,0,0,0,0,0,0.0,0.0,0.8254083333333333,1.0,3,2
run2,qwen,race_ethnicity,60,0,0,1,0,1,0.016666666666666666,0.016666666666666666,0.7618883333333333,0.80635,29,19
run2,qwen,religion,12,0,0,0,0,0,0.0,0.0,0.8018249999999999,0.8674999999999999,4,3
run2,qwen,sexual_orientation,9,0,0,0,0,0,0.0,0.0,0.7186777777777777,0.7668,6,3
run2,qwen,socioeconomic_status,72,0,0,1,0,1,0.013888888888888888,0.027777777777777776,0.7614027777777778,0.8162,34,25
